"","MODIFIED_ZCTA","NEIGHBORHOOD_NAME","BOROUGH_GROUP","lat","lon","POP_DENOMINATOR","COVID_CONFIRMED_CASE_COUNT","COVID_PROBABLE_CASE_COUNT","COVID_CASE_COUNT","COVID_CONFIRMED_CASE_RATE","COVID_CASE_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS"
"1",10001,"Chelsea/NoMad/West Chelsea","Manhattan",40.750693,-73.997137,27613.09,5867,1337,7204,21247.17,26089.08,11.81,48513
"2",10002,"Chinatown/Lower East Side","Manhattan",40.715781,-73.986176,75322.71,15274,2788,18062,20278.08,23979.49,20.01,74393
"3",10003,"East Village/Gramercy/Greenwich Village","Manhattan",40.731825,-73.989164,53977.81,10591,1827,12418,19621.03,23005.75,15.34,66518
"4",10004,"Financial District","Manhattan",40.703675,-74.013106,2972.12,722,186,908,24292.46,30550.63,9.64,7355
"5",10005,"Financial District","Manhattan",40.706092,-74.008861,8757.23,1577,560,2137,18007.99,24402.71,13.98,10913
"6",10006,"Financial District","Manhattan",40.709651,-74.013044,3381.8,699,237,936,20669.47,27677.57,10.03,6760
"7",10007,"TriBeCa","Manhattan",40.713923,-74.007546,6991.45,1228,336,1564,17564.31,22370.18,12.07,9964
"8",10009,"Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan",40.72638,-73.978704,57151.12,11551,2469,14020,20211.33,24531.45,19.44,57699
"9",10010,"Flatiron/Gramercy/Kips Bay","Manhattan",40.739119,-73.982544,33353,5810,1137,6947,17419.72,20828.71,12.13,46549
"10",10011,"Chelsea","Manhattan",40.741707,-74.000062,49745.99,9960,1810,11770,20021.72,23660.2,16.36,59160
"11",10012,"Greenwich Village/SoHo","Manhattan",40.725576,-73.998078,23152.07,4153,1070,5223,17937.92,22559.54,14.29,27939
"12",10013,"Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan",40.720096,-74.004763,28818.86,6274,1042,7316,21770.46,25386.15,14.77,41171
"13",10014,"Hudson Square/Meatpacking District/West Village","Manhattan",40.73402,-74.006314,30336.05,5149,1322,6471,16973.2,21331.05,14.68,34216
"14",10016,"Kips Bay/Murray Hill/NoMad","Manhattan",40.745174,-73.978319,50912.11,10654,2234,12888,20926.26,25314.21,15.47,66639
