"","MODIFIED_ZCTA","NEIGHBORHOOD_NAME","BOROUGH_GROUP","lat","lon","POP_DENOMINATOR","COVID_CONFIRMED_DEATH_COUNT","COVID_PROBABLE_DEATH_COUNT","COVID_DEATH_COUNT","COVID_CONFIRMED_DEATH_RATE","COVID_DEATH_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS"
"1",10001,"Chelsea/NoMad/West Chelsea","Manhattan",40.750693,-73.997137,27613.09,50,6,56,181.07,202.8,11.81,48513
"2",10002,"Chinatown/Lower East Side","Manhattan",40.715781,-73.986176,75322.71,350,52,402,464.67,533.7,20.01,74393
"3",10003,"East Village/Gramercy/Greenwich Village","Manhattan",40.731825,-73.989164,53977.81,66,13,79,122.27,146.36,15.34,66518
"4",10004,"Financial District","Manhattan",40.703675,-74.013106,2972.12,2,0,2,67.29,67.29,9.64,7355
"5",10005,"Financial District","Manhattan",40.706092,-74.008861,8757.23,0,2,2,0,22.84,13.98,10913
"6",10006,"Financial District","Manhattan",40.709651,-74.013044,3381.8,1,0,1,29.57,29.57,10.03,6760
"7",10007,"TriBeCa","Manhattan",40.713923,-74.007546,6991.45,7,0,7,100.12,100.12,12.07,9964
"8",10009,"Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan",40.72638,-73.978704,57151.12,154,22,176,269.46,307.96,19.44,57699
"9",10010,"Flatiron/Gramercy/Kips Bay","Manhattan",40.739119,-73.982544,33353,53,7,60,158.91,179.89,12.13,46549
"10",10011,"Chelsea","Manhattan",40.741707,-74.000062,49745.99,88,11,99,176.9,199.01,16.36,59160
"11",10012,"Greenwich Village/SoHo","Manhattan",40.725576,-73.998078,23152.07,18,11,29,77.75,125.26,14.29,27939
"12",10013,"Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan",40.720096,-74.004763,28818.86,52,9,61,180.44,211.67,14.77,41171
"13",10014,"Hudson Square/Meatpacking District/West Village","Manhattan",40.73402,-74.006314,30336.05,39,4,43,128.56,141.75,14.68,34216
"14",10016,"Kips Bay/Murray Hill/NoMad","Manhattan",40.745174,-73.978319,50912.11,74,17,91,145.35,178.74,15.47,66639
"15",10017,"East Midtown/Murray Hill","Manhattan",40.752543,-73.973037,15613.27,33,7,40,211.36,256.19,11.35,28444
"16",10018,"Hell's Kitchen/Midtown Manhattan","Manhattan",40.755191,-73.992667,11790.55,12,1,13,101.78,110.26,6.86,41541
"17",10019,"Hell's Kitchen/Midtown Manhattan","Manhattan",40.76528,-73.985974,43522.4,87,12,99,199.9,227.47,11.99,78746
"18",10021,"Lenox Hill/Upper East Side","Manhattan",40.769474,-73.958771,45875.54,100,14,114,217.98,248.5,13.76,44773
"19",10022,"East Midtown","Manhattan",40.758676,-73.968098,30896.18,63,8,71,203.91,229.8,11.7,41446
"20",10023,"Lincoln Square","Manhattan",40.775901,-73.982658,61782.48,103,21,124,166.71,200.7,14.4,69135
"21",10024,"Upper West Side","Manhattan",40.792085,-73.974871,58412.05,112,25,137,191.74,234.54,13.89,62188
"22",10025,"Manhattan Valley/Morningside Heights/Upper West Side","Manhattan",40.798651,-73.966585,91619.93,322,72,394,351.45,430.04,15.18,102781
"23",10026,"Central Harlem (South)","Manhattan",40.802341,-73.952521,38664.36,108,20,128,279.33,331.05,20,37447
"24",10027,"Central Harlem (South)/Morningside Heights/West Harlem","Manhattan",40.8118,-73.953204,63394.55,197,26,223,310.75,351.77,17.81,63358
"25",10028,"Upper East Side/Yorkville","Manhattan",40.776432,-73.953509,47370.29,70,9,79,147.77,166.77,15.48,45929
"26",10029,"East Harlem","Manhattan",40.791777,-73.943969,78224.82,369,51,420,471.72,536.91,22.83,77344
"27",10030,"Central Harlem (North)","Manhattan",40.818326,-73.942842,29269.87,113,13,126,386.06,430.48,21.56,26512
"28",10031,"Hamilton Heights/West Harlem","Manhattan",40.825278,-73.950037,59023.53,220,25,245,372.73,415.09,21.73,51145
"29",10032,"Washington Heights (South)","Manhattan",40.838768,-73.942824,63051.12,260,43,303,412.36,480.56,21.49,53305
"30",10033,"Washington Heights (North)/Washington Heights (South)","Manhattan",40.850497,-73.934007,58517.81,182,26,208,311.02,355.45,21.31,49432
"31",10034,"Inwood/Washington Heights (North)","Manhattan",40.867168,-73.924048,42241.84,124,15,139,293.55,329.06,22.04,34027
"32",10035,"East Harlem","Manhattan",40.791,-73.924596,35240.03,215,40,255,610.1,723.61,21.28,34970
