,Latitude,Longitude,Restaurant Name,Legal Business Name,Postcode,Food Service Establishment Permit #,Business Address,Landmark District or Building
0,40.8005,-73.952507,Seasoned Vegan,"Seasoned Vegan, LLC",10026,50003337,"55 St. Nicholas Avenue, Manhattan, NY",no
1,40.766845,-73.96270799999999,AMERICAS CAFE &amp; GRILL,68TH GRILL INC,10065,40797684,"1159 3 AVENUE, Manhattan, NY",no
2,40.744338,-73.99624,SUSHI SEKI,SEKI INC,10011,50005983,"208 WEST   23 STREET, Manhattan, NY",no
3,40.850322999999996,-73.933011,Lucky Seven Restaurant & Bar LLC,Lucky Seven Restaurant & Bar LLC,10033,41603214,"1455  St Nicholas Avenue, Manhattan, NY",no
4,40.79167,-73.946688,El Nuevo Carribeno,El Nuevo Carribeno Inc.,10029,50073215,"1675 Lexington Avenue , Manhattan, NY",yes
5,40.669179,-73.979687,LA BRUSCHETTA RESTAURANT,LA BRUSCHETTA RESTAURANT OF NY INC,11215,40601006,"256 7 AVENUE, Brooklyn, NY",no
6,40.748213,-73.98612,Shabu Garden,20 west 33rd street corp.,10001,50092090,"24 w 33rd street, Manhattan, NY",no
7,40.762605,-73.97846,QUALITY BISTRO,"FRENCH ONION SOUP, LLC",10105,50092790,"1345 AVENUE OF THE AMERICAS, Manhattan, NY",no
8,40.79186,-73.971979,Talia's Restaurant Group LLC,Talia's Restaurant Group LLC,10025,40978252,"668 Amsterdam Avenue, Manhattan, NY",no
9,,,Asian Kabab and Curry,Asian Kabab and Curry Inc,11208,50056793,"496 Crescent, Brooklyn, NY",no
10,40.756005,-73.96927600000001,KARIZMA LOUNGE CORP,KARIZMA LOUNGE CORP,10002,41636886,"244 EAST 51 STREET, Manhattan, NY",no
11,40.761926,-73.990098,hudson bagel,narae food inc,10036,50086520,"691 9 ave , Manhattan, NY",no
12,40.726,-74.00930100000001,KANA TAPAS BAR &amp; RESTAURANT,RIOMAR CORP.,10013,40608746,"324 SPRING STREET, Manhattan, NY",no
13,40.703265,-73.986648,Olympia Wine Bar,54 Jay Street Partners LLC,11201,41711468,"54 Jay Street, Brooklyn, NY",yes
14,40.834534000000005,-73.9454,Taszo,Taszo Coffee LLC,10032,50000150,"5 Edward M Morgan Place, Manhattan, NY",no
15,40.51585,-74.23350400000001,W's Bar and Restaurant LLC,W's Bar and Reataurant LLC,10307,50080247,"7001 C  Amboy Road, Staten Island, NY",no
16,40.79757,-73.939146,TACO MIX,EAT REAL TACOS LLC,10029,50078527,"234 EAST  116 STREET, Manhattan, NY",no
17,40.687672,-73.970552,Olea,Gayseahourse Llc,11238,41489414,"171  Lafayette Avenue, Brooklyn, NY",yes
18,40.76034,-73.98919599999999,Don't Tell Mama,DTM PB CORP,10036,41632738,"343-345 West 46th Street, Manhattan, NY",no
19,40.760911,-73.832872,THE DOLAR SHOP,THE DOLAR SHOP RESTAURANT GROUP LLC,11354,50043433,"133-53 37AVE, Queens, NY",no
20,,,Juices for life,3463 juices for life,10465,50017778,"3463 East Fremont ave, Bronx, NY",no
21,40.775294,-73.909498,RIVERCREST,RIVERCREST INC.,11105,50089355,"3315 DITMARS BLVD, Queens, NY",no
22,,,JUYOU LOU,NY HAPPY FAMILY  INC,11354,50098186,"135-29 40 ROAD, Queens, NY",no
23,40.834299,-73.850796,Estrellita Poblana,Gonzalez Jimenez Corp.,10462,41244032,"2231  Westchester Ave, Bronx, NY",no
24,40.72337,-73.988365,La Linea,Allegra Allegra Inc.,10003,40399620,"15 First Avenue, Manhattan, NY",no
25,40.765485,-73.92654399999999,Kelly s,Sondra tesseyman,11106,G780969,"31-04 Crescent street, Queens, NY",no
26,,,Gramercy Bagels,KNL Green Food Inc,10010,41670030,"246 246 3rd ave, Manhattan, NY",no
27,40.747572999999996,-73.98248199999999,Tiberias,Sternbach holdings llc,10016,41474224,"45 E 34th st, Manhattan, NY",no
